Pct_treino,Algoritmo,Acuracia
0.30000000000000004,RBF SVM,0.9589488415487483
0.30000000000000004,Decision Tree,0.9118333074171979
0.30000000000000004,Random Forest,0.9433991603172135
0.30000000000000004,Naive Bayes,0.7944332141191106
0.30000000000000004,Neural Net,0.9149432436635049
0.30000000000000004,Nearest Neighbors,0.9584823511118022
0.30000000000000004,RBF SVM,0.9598818224226403
0.30000000000000004,Decision Tree,0.9095008552324677
0.30000000000000004,Random Forest,0.9332918675167159
0.30000000000000004,Naive Bayes,0.7992536153008863
0.30000000000000004,Neural Net,0.938267765510807
0.30000000000000004,Nearest Neighbors,0.9600373192349557
0.30000000000000004,RBF SVM,0.9611257969211631
0.30000000000000004,Decision Tree,0.912299797854144
0.30000000000000004,Random Forest,0.9392007463846991
0.30000000000000004,Naive Bayes,0.7942777173067952
