frame_time_delta,ipv6_plen,ipv6_nxt,frame_len,mqtt_dupflag,mqtt_hdrflags,mqtt_kalive,mqtt_msgid,mqtt_msgtype,mqtt_retain,label,mqtt_len_flag,mqtt_len_null,ipv6_src_fd,ipv6_src_fe,ipv6_dst_fd,ipv6_dst_fe,ipv6_dst_ff
2681180000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0337604000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
4472546000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0383985000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0083293000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1671322000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2740238000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2227554000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0015166000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0550128000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0003551000,47,17,101,0,0,00,0,0,0,0,0,1,10,00,10,00,00
0007430000,20,6,74,0,0,00,0,0,0,0,0,1,10,00,10,00,00
0730578000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0113274000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1819494000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1030634000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1125805000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2696283000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2503511000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0476310000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3500611000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3463919000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0117595000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2910210000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2336709000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2916599000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3923944000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
5471711000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3449881000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3806345000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
5543002000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0007608000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0280149000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0003481000,47,17,101,0,0,00,0,0,0,0,0,1,10,00,10,00,00
1002722000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2647205000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0004333000,62,6,116,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1677045000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2173357000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0009014000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0669708000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0008038000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0061587000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1106910000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0601637000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0320526000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
4074347000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3227074000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2315149000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3575144000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0004134000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3422620000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3778084000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0096315000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0672998000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1098549000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0294457000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
4664087000,32,58,86,0,0,00,0,0,0,0,0,1,00,10,10,00,00
0010784000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1131827000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
